cz,pop,parent,child,prop
6502,203077,1,1,0.361
6502,203077,2,1,0.268
6502,203077,3,1,0.181
6502,203077,4,1,0.132
6502,203077,5,1,0.114
6600,418304,1,1,0.344
6600,418304,2,1,0.258
6600,418304,3,1,0.193
6600,418304,4,1,0.147
6600,418304,5,1,0.12
6700,2395997,1,1,0.317
6700,2395997,2,1,0.249
6700,2395997,3,1,0.192
6700,2395997,4,1,0.153
6700,2395997,5,1,0.133
6800,598228,1,1,0.296
6800,598228,2,1,0.236
6800,598228,3,1,0.175
6800,598228,4,1,0.144
6800,598228,5,1,0.115
6900,763795,1,1,0.324
6900,763795,2,1,0.26
6900,763795,3,1,0.205
6900,763795,4,1,0.157
6900,763795,5,1,0.139
7000,3955969,1,1,0.248
7000,3955969,2,1,0.211
7000,3955969,3,1,0.189
7000,3955969,4,1,0.163
7000,3955969,5,1,0.145
7100,1533306,1,1,0.307
7100,1533306,2,1,0.254
7100,1533306,3,1,0.207
7100,1533306,4,1,0.17
7100,1533306,5,1,0.149
7200,692265,1,1,0.314
7200,692265,2,1,0.249
7200,692265,3,1,0.203
7200,692265,4,1,0.156
7200,692265,5,1,0.126
7300,589177,1,1,0.333
7300,589177,2,1,0.252
7300,589177,3,1,0.193
7300,589177,4,1,0.167
7300,589177,5,1,0.144
7400,1697906,1,1,0.315
7400,1697906,2,1,0.245
7400,1697906,3,1,0.189
7400,1697906,4,1,0.152
7400,1697906,5,1,0.133
7500,563598,1,1,0.332
7500,563598,2,1,0.248
7500,563598,3,1,0.197
7500,563598,4,1,0.161
7500,563598,5,1,0.151
7600,1176696,1,1,0.353
7600,1176696,2,1,0.271
7600,1176696,3,1,0.195
7600,1176696,4,1,0.153
7600,1176696,5,1,0.127
7700,149695,1,1,0.34
7700,149695,2,1,0.253
7700,149695,3,1,0.172
7700,149695,4,1,0.144
7700,149695,5,1,0.12
7800,377001,1,1,0.33
7800,377001,2,1,0.246
7800,377001,3,1,0.184
7800,377001,4,1,0.154
7800,377001,5,1,0.142
7900,320199,1,1,0.35
7900,320199,2,1,0.259
7900,320199,3,1,0.189
7900,320199,4,1,0.154
7900,320199,5,1,0.154
8000,209914,1,1,0.346
8000,209914,2,1,0.264
8000,209914,3,1,0.184
8000,209914,4,1,0.137
8000,209914,5,1,0.12
8100,722201,1,1,0.365
8100,722201,2,1,0.277
8100,722201,3,1,0.193
8100,722201,4,1,0.142
8100,722201,5,1,0.115
8201,72733,1,1,0.367
8201,72733,2,1,0.29
8201,72733,3,1,0.212
8201,72733,4,1,0.169
8201,72733,5,1,0.101
8202,587297,1,1,0.338
8202,587297,2,1,0.258
8202,587297,3,1,0.198
8202,587297,4,1,0.141
8202,587297,5,1,0.128
8300,894291,1,1,0.352
8300,894291,2,1,0.259
8300,894291,3,1,0.189
8300,894291,4,1,0.137
8300,894291,5,1,0.113
8401,525842,1,1,0.335
8401,525842,2,1,0.266
8401,525842,3,1,0.2
8401,525842,4,1,0.15
8401,525842,5,1,0.127
8402,35518,1,1,0.348
8402,35518,2,1,0.287
8402,35518,3,1,0.205
8402,35518,4,1,0.151
8402,35518,5,1,0.123
8501,27415,1,1,0.323
8501,27415,2,1,0.233
8501,27415,3,1,0.161
8501,27415,4,1,0.152
8501,27415,5,1,0.116
8502,42098,1,1,0.37
8502,42098,2,1,0.275
8502,42098,3,1,0.202
8502,42098,4,1,0.133
8502,42098,5,1,0.093
8503,241530,1,1,0.358
8503,241530,2,1,0.257
8503,241530,3,1,0.186
8503,241530,4,1,0.151
8503,241530,5,1,0.118
8601,113122,1,1,0.336
8601,113122,2,1,0.274
8601,113122,3,1,0.188
8601,113122,4,1,0.129
8601,113122,5,1,0.129
8602,93044,1,1,0.346
8602,93044,2,1,0.254
8602,93044,3,1,0.23
8602,93044,4,1,0.18
8602,93044,5,1,0.147
8701,131279,1,1,0.347
8701,131279,2,1,0.259
8701,131279,3,1,0.211
8701,131279,4,1,0.145
8701,131279,5,1,0.118
8702,111346,1,1,0.348
8702,111346,2,1,0.281
